# OpenSignals Text File Format. Version 1
# {"88:6B:0F:D9:19:8C": {"position": 0, "device": "bitalino_rev", "device name": "88:6B:0F:D9:19:8C", "device connection": "BTH88:6B:0F:D9:19:8C", "sampling rate": 1000, "resolution": [4, 1, 1, 1, 1, 10], "firmware version": 1281, "comments": "", "keywords": "", "mode": 2, "sync interval": 2, "date": "2026-4-10", "time": "13:54:21.305", "channels": [1], "sensor": ["EMGBITREV"], "label": ["A1"], "column": ["nSeq", "I1", "I2", "O1", "O2", "A1"], "special": [{}], "digital IO": [0, 0, 1, 1]}}
# EndOfHeader
12	0	0	1	1	510	
13	0	0	1	1	530	
14	0	0	1	1	655	
15	0	0	1	1	739	
0	0	0	1	1	707	
1	0	0	1	1	526	
2	0	0	1	1	299	
3	0	0	1	1	268	
4	0	0	1	1	233	
5	0	0	1	1	326	
6	0	0	1	1	404	
7	0	0	1	1	475	
8	0	0	1	1	885	
9	0	0	1	1	898	
10	0	0	1	1	615	
11	0	0	1	1	488	
12	0	0	1	1	494	
13	0	0	1	1	475	
14	0	0	1	1	553	
15	0	0	1	1	492	
0	0	0	1	1	309	
1	0	0	1	1	443	
2	0	0	1	1	591	
3	0	0	1	1	470	
4	0	0	1	1	449	
5	0	0	1	1	527	
6	0	0	1	1	585	
7	0	0	1	1	622	
8	0	0	1	1	576	
9	0	0	1	1	424	
10	0	0	1	1	362	
11	0	0	1	1	471	
12	0	0	1	1	542	
13	0	0	1	1	604	
14	0	0	1	1	491	
15	0	0	1	1	447	
0	0	0	1	1	525	
1	0	0	1	1	551	
2	0	0	1	1	461	
3	0	0	1	1	444	
4	0	0	1	1	449	
5	0	0	1	1	487	
6	0	0	1	1	455	
7	0	0	1	1	540	
8	0	0	1	1	662	
9	0	0	1	1	575	
10	0	0	1	1	391	
11	0	0	1	1	430	
12	0	0	1	1	520	
13	0	0	1	1	597	
14	0	0	1	1	613	
15	0	0	1	1	584	
0	0	0	1	1	424	
1	0	0	1	1	501	
2	0	0	1	1	538	
3	0	0	1	1	320	
4	0	0	1	1	404	
5	0	0	1	1	529	
6	0	0	1	1	617	
7	0	0	1	1	566	
8	0	0	1	1	527	
9	0	0	1	1	526	
10	0	0	1	1	522	
11	0	0	1	1	509	
12	0	0	1	1	500	
13	0	0	1	1	510	
14	0	0	1	1	493	
15	0	0	1	1	496	
0	0	0	1	1	507	
1	0	0	1	1	561	
2	0	0	1	1	548	
3	0	0	1	1	470	
4	0	0	1	1	438	
5	0	0	1	1	475	
6	0	0	1	1	485	
7	0	0	1	1	516	
8	0	0	1	1	511	
9	0	0	1	1	515	
10	0	0	1	1	516	
11	0	0	1	1	526	
12	0	0	1	1	525	
13	0	0	1	1	519	
14	0	0	1	1	491	
15	0	0	1	1	487	
0	0	0	1	1	515	
1	0	0	1	1	508	
2	0	0	1	1	520	
3	0	0	1	1	508	
4	0	0	1	1	511	
5	0	0	1	1	520	
6	0	0	1	1	510	
7	0	0	1	1	519	
8	0	0	1	1	510	
9	0	0	1	1	502	
10	0	0	1	1	502	
11	0	0	1	1	510	
12	0	0	1	1	519	
13	0	0	1	1	507	
14	0	0	1	1	487	
15	0	0	1	1	487	
0	0	0	1	1	510	
1	0	0	1	1	525	
2	0	0	1	1	520	
3	0	0	1	1	512	
4	0	0	1	1	508	
5	0	0	1	1	508	
6	0	0	1	1	510	
7	0	0	1	1	507	
8	0	0	1	1	515	
9	0	0	1	1	512	
10	0	0	1	1	513	
11	0	0	1	1	504	
12	0	0	1	1	497	
13	0	0	1	1	502	
14	0	0	1	1	519	
15	0	0	1	1	542	
0	0	0	1	1	507	
1	0	0	1	1	508	
2	0	0	1	1	491	
3	0	0	1	1	498	
4	0	0	1	1	504	
5	0	0	1	1	524	
6	0	0	1	1	519	
7	0	0	1	1	502	
8	0	0	1	1	504	
9	0	0	1	1	515	
10	0	0	1	1	504	
11	0	0	1	1	460	
12	0	0	1	1	449	
13	0	0	1	1	485	
14	0	0	1	1	511	
15	0	0	1	1	524	
0	0	0	1	1	544	
1	0	0	1	1	540	
2	0	0	1	1	519	
3	0	0	1	1	511	
4	0	0	1	1	507	
5	0	0	1	1	521	
6	0	0	1	1	510	
7	0	0	1	1	505	
8	0	0	1	1	510	
9	0	0	1	1	527	
10	0	0	1	1	508	
11	0	0	1	1	496	
12	0	0	1	1	477	
13	0	0	1	1	500	
14	0	0	1	1	544	
15	0	0	1	1	526	
0	0	0	1	1	515	
1	0	0	1	1	520	
2	0	0	1	1	512	
3	0	0	1	1	496	
4	0	0	1	1	493	
5	0	0	1	1	502	
6	0	0	1	1	520	
7	0	0	1	1	513	
8	0	0	1	1	500	
9	0	0	1	1	494	
10	0	0	1	1	506	
11	0	0	1	1	506	
12	0	0	1	1	508	
13	0	0	1	1	519	
14	0	0	1	1	527	
15	0	0	1	1	523	
0	0	0	1	1	485	
1	0	0	1	1	487	
2	0	0	1	1	518	
3	0	0	1	1	526	
4	0	0	1	1	514	
